naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
ALEKSANDROVO,NOVA CRNJA,45.63351688465465,20.5795597481879,ŽELEZNIČKA,68
ALEKSANDROVO,NOVA CRNJA,45.63374766191282,20.584552404785743,BRANKA RADIČEVIĆA,14
ALEKSANDROVO,NOVA CRNJA,45.63717289026564,20.584829133282657,KARAĐORĐEVA,47
ALEKSANDROVO,NOVA CRNJA,45.639620385244555,20.585786377235397,KARAĐORĐEVA,39A
ALEKSANDROVO,NOVA CRNJA,45.63029589516503,20.588981833447548,4.OKTOBRA,76
ALEKSANDROVO,NOVA CRNJA,45.633995320323685,20.588618511760856,MIHAJLA PUPINA,71
ALEKSANDROVO,NOVA CRNJA,45.64105195432843,20.588693649237822,ĐURE JAKŠIĆA,29
ALEKSANDROVO,NOVA CRNJA,45.64367772323704,20.587376823512177,KARAĐORĐEVA,21
ALEKSANDROVO,NOVA CRNJA,45.63313210680821,20.590139278657563,BRANKA RADIČEVIĆA,31
ALEKSANDROVO,NOVA CRNJA,45.638059883977505,20.59244002649617,4.OKTOBRA,47A
ALEKSANDROVO,NOVA CRNJA,45.640043282301065,20.59326098123159,4.OKTOBRA,31
ALEKSANDROVO,NOVA CRNJA,45.632335222797394,20.59436711829136,BRANKA RADIČEVIĆA,47
ALEKSANDROVO,NOVA CRNJA,45.63147322502385,20.597145814093658,BRANKA RADIČEVIĆA,58
ALEKSANDROVO,NOVA CRNJA,45.637663119990634,20.599488799205364,GAVRILA PRINCIPA,35
ALEKSANDROVO,NOVA CRNJA,45.64426625791588,20.589891784090042,ĐURE JAKŠIĆA,19
ALEKSANDROVO,NOVA CRNJA,45.64254489571461,20.603136195826234,VUKA KARADŽIĆA,6
ALEKSANDROVO,NOVA CRNJA,45.644383663883595,20.603024401820242,SVETOZARA MARKOVIĆA,61
ALEKSANDROVO,NOVA CRNJA,45.636105092973594,20.583933611726426,KARAĐORĐEVA,64A
ALEKSANDROVO,NOVA CRNJA,45.63585343985584,20.584357472655583,KARAĐORĐEVA,55
ALEKSANDROVO,NOVA CRNJA,45.63899596799869,20.5872969903656,ĐURE JAKŠIĆA,48A
ALEKSANDROVO,NOVA CRNJA,45.629111580470195,20.59628471146587,GAVRILA PRINCIPA,71
ALEKSANDROVO,NOVA CRNJA,45.63111283679086,20.59891348166086,BRANKA RADIČEVIĆA,64
ALEKSANDROVO,NOVA CRNJA,45.631055436493334,20.599433871082553,VUKA KARADŽIĆA,75
ALEKSANDROVO,NOVA CRNJA,45.643949496518566,20.589735999553323,ĐURE JAKŠIĆA,21
ALEKSANDROVO,NOVA CRNJA,45.63594355867079,20.583868344524692,KARAĐORĐEVA,66
ALEKSANDROVO,NOVA CRNJA,45.63122725762627,20.586796055206595,MIHAJLA PUPINA,88
ALEKSANDROVO,NOVA CRNJA,45.63255092661007,20.58739151211694,MIHAJLA PUPINA,76
ALEKSANDROVO,NOVA CRNJA,45.63952969677355,20.588237722817205,ĐURE JAKŠIĆA,37A
ALEKSANDROVO,NOVA CRNJA,45.64427967754692,20.585058314637966,ŽELEZNIČKA,17
ALEKSANDROVO,NOVA CRNJA,45.644283343630846,20.586914384498087,KARAĐORĐEVA,18A
ALEKSANDROVO,NOVA CRNJA,45.63584169186139,20.591103761450363,4.OKTOBRA,48A
ALEKSANDROVO,NOVA CRNJA,45.63864720807696,20.592141291498045,4.OKTOBRA,40
ALEKSANDROVO,NOVA CRNJA,45.639556047512514,20.59300402821651,4.OKTOBRA,37
ALEKSANDROVO,NOVA CRNJA,45.62858467811936,20.59560111919772,GAVRILA PRINCIPA,78
ALEKSANDROVO,NOVA CRNJA,45.629946195342804,20.596629599716522,GAVRILA PRINCIPA,65A
ALEKSANDROVO,NOVA CRNJA,45.63304500935451,20.599615611024273,VUKA KARADŽIĆA,44
ALEKSANDROVO,NOVA CRNJA,45.63337810149706,20.599760527958168,VUKA KARADŽIĆA,42
ALEKSANDROVO,NOVA CRNJA,45.6392972389204,20.600260256573915,GAVRILA PRINCIPA,25
ALEKSANDROVO,NOVA CRNJA,45.63789128180368,20.60200950522637,VUKA KARADŽIĆA,43A
ALEKSANDROVO,NOVA CRNJA,45.64308942955207,20.59431492332917,4.OKTOBRA,17
ALEKSANDROVO,NOVA CRNJA,45.63196520987872,20.579069708662416,ŽELEZNIČKA,78
ALEKSANDROVO,NOVA CRNJA,45.63325933112264,20.579672012178285,ŽELEZNIČKA,70
ALEKSANDROVO,NOVA CRNJA,45.63726609662655,20.582471018802096,ŽELEZNIČKA,47
ALEKSANDROVO,NOVA CRNJA,45.63864274469514,20.58245925452062,ŽELEZNIČKA,80
ALEKSANDROVO,NOVA CRNJA,45.639824572748324,20.585799243966644,KARAĐORĐEVA,39
ALEKSANDROVO,NOVA CRNJA,45.632436509636044,20.587985859395527,MIHAJLA PUPINA,75
ALEKSANDROVO,NOVA CRNJA,45.63764032267323,20.587915773930877,NIKOLE TESLE,22
ALEKSANDROVO,NOVA CRNJA,45.64119968294919,20.58877520523298,ĐURE JAKŠIĆA,27A
ALEKSANDROVO,NOVA CRNJA,45.63491280685813,20.591358271816237,4.OKTOBRA,63
ALEKSANDROVO,NOVA CRNJA,45.63351302539778,20.597991712220722,GAVRILA PRINCIPA,51
ALEKSANDROVO,NOVA CRNJA,45.6387486765813,20.599373410914197,GAVRILA PRINCIPA,32
ALEKSANDROVO,NOVA CRNJA,45.64693116676334,20.588942705690055,SVETOZARA MARKOVIĆA,11
ALEKSANDROVO,NOVA CRNJA,45.643436555319816,20.59129874401231,MIHAJLA PUPINA,22
ALEKSANDROVO,NOVA CRNJA,45.64453234149199,20.59982033852383,SVETOZARA MARKOVIĆA,52
ALEKSANDROVO,NOVA CRNJA,45.64220820274309,20.60304156271658,VUKA KARADŽIĆA,8
ALEKSANDROVO,NOVA CRNJA,45.63171608589236,20.58226346475575,KARAĐORĐEVA,88
ALEKSANDROVO,NOVA CRNJA,45.63163345745333,20.582756095354245,KARAĐORĐEVA,77
ALEKSANDROVO,NOVA CRNJA,45.63180553028379,20.58470069616282,ĐURE JAKŠIĆA,86
ALEKSANDROVO,NOVA CRNJA,45.6365107300497,20.58461667019426,KARAĐORĐEVA,51
ALEKSANDROVO,NOVA CRNJA,45.63667861151781,20.58471961583413,KARAĐORĐEVA,49A
ALEKSANDROVO,NOVA CRNJA,45.63835024096675,20.58652505989375,NIKOLE TESLE,21
