1,Ada,24430,1
2,Adaševci,22244,2
3,Adorjan,24425,3
4,Adrani,36203,4
5,Azanja,11423,5
6,Aleksa Šantić,25212,6
7,Aleksandrovac,12370,7
8,Aleksandrovac,37230,8
9,Aleksandrovo,23217,9
10,Aleksinac,18220,10
11,Aleksinački Rudnik,18226,10
12,Alibunar,26310,11
13,Aljinovići,31307,12
14,Apatin,25260,13
15,Aradac,23207,14
16,Aranđelovac,34300,15
17,Arilje,31230,16
18,Ašanja,22418,17
19,Babušnica,18330,18
20,Bavanište,26222,19
21,Bagrdan,35204,20
22,Badnjevac,34226,21
23,Badovinci,15358,22
24,Bajina Bašta,31250,23
25,Bajmok,24210,24
26,Bajša,24331,25
27,Balajnac,18257,26
28,Baljevac,36344,27
29,Banatska Dubica,23251,28
30,Banatska Palanka,26324,29
31,Banatska Subotica,26327,29
32,Banatska Topola,23315,30
33,Banatski Brestovac,26234,31
34,Banatski Dvor,23213,32
35,Banatski Despotovac,23242,14
36,Banatski Karlovac,26320,11
37,Banatsko Aranđelovo,23332,33
38,Banatsko Veliko Selo,23312,30
39,Banatsko Karađorđevo,23216,32
40,Banatsko Novo Selo,26314,31
41,Banovo Polje,15362,22
42,Banovci-Dunav,22303,34
43,Banoštor,21312,35
44,Banja,34304,15
45,Banja,31337,36
46,Banja Koviljača,15316,37
47,Banjani,14214,38
48,Banjska,38216,39
49,Barajevo,11460,40
50,Baranda,26205,41
51,Barbatovac,18426,42
52,Bare,12227,43
53,Bare,34205,44
54,Bare,36315,45
55,Barice,26367,46
56,Barič,11504,47
57,Barlovo,18432,48
58,Baroševac,11565,49
59,Batočina,34227,21
60,Batrovci,22251,2
61,Batuse,38210,50
62,Bač,21420,51
63,Bačevci,31258,23
64,Bačina,37265,52
65,Bačinci,22225,2
66,Bačka Palanka,21400,53
67,Bačka Topola,24300,25
68,Bački Breg,25275,6
69,Bački Brestovac,25242,54
70,Bački Vinogradi,24415,24
71,Bački Gračac,25252,54
72,Bački Jarak,21234,55
73,Bački Monoštor,25272,6
74,Bački Petrovac,21470,56
75,Bački Sokolac,24343,25
76,Bačko Gradište,21217,57
77,Bačko Dobro Polje,21465,58
78,Bačko Novo Selo,21429,51
79,Bačko Petrovo Selo,21226,57
80,Bašaid,23316,30
81,Begeč,21411,59
82,Bezdan,25270,6
83,Bela Voda,37253,60
84,Bela Zemlja,31311,61
85,Bela Palanka,18310,62
86,Bela Crkva,15313,63
87,Bela Crkva,26340,29
88,Belanovica,14246,64
89,Bele Vode,32259,65
90,Belegiš,22306,34
91,Beli Potok,11223,66
92,Beli Potok,19366,67
93,Belo Blato,23205,14
94,Beloljin,18424,68
95,Belosavci,34312,69
96,Belotinac,18411,70
97,Beloševac,34208,71
98,Belušić,35263,72
99,Beljina,11461,40
100,Beočin,21300,35
101,Berkasovo,22242,2
102,Bečej,21220,57
103,Bešenovo,22212,73
104,Beška,22324,74
105,Bigrenica,35238,75
106,Bikić Do,22254,2
107,Bikovo,24206,24
108,Biljača,17522,76
109,Bingula,22253,2
110,Bioska,31241,61
111,Bistar,17546,77
112,Bistrica,31325,78
113,Blaževo,37226,79
114,Blace,18420,42
115,Bobovo,35217,80
116,Bogaraš,24408,81
117,Bogatić,15350,22
118,Bogovađa,14225,82
119,Bogovina,19372,83
120,Bogojevo,25245,54
121,Bogojevce,16254,84
122,Bogutovac,36341,4
123,Bođani,21427,51
124,Boževac,12313,85
125,Božetići,31322,78
126,Božica,17537,86
127,Bojnik,16205,87
128,Boka,23252,28
129,Boljevac,19370,83
130,Boljkovci,32312,88
131,Bor,19210,89
132,Borski Brestovac,19229,89
133,Bosilegrad,17540,77
134,Bosut,22217,73
135,Botoš,23243,14
136,Bočar,23274,90
137,Bošnjane,37262,52
138,Bošnjace,16232,91
139,Bradarac,12206,43
140,Braničevo,12222,92
141,Brankovina,14201,93
142,Bratljevo,32256,65
143,Braćevac,19315,94
144,Brvenik,36346,27
145,Brgule,14212,38
146,Brđani,32303,88
147,Brežđe,14244,95
148,Brezjak,15309,37
149,Brezna,32307,88
150,Brezova,32253,65
151,Brezovica,38157,96
152,Brekovo,31234,16
153,Bresnica,32213,97
154,Brestovac,16253,84
155,Brestovačka Banja,19216,89
156,Brza Palanka,19323,98
157,Brzi Brod,18116,99
158,Brzan,34228,21
159,Brzeće,37225,79
160,Brodarevo,31305,12
161,Brus,37220,79
162,Brusnik,19313,100
163,Budisava,21242,59
164,Buđanovci,22421,101
165,Bujanovac,17520,76
166,Bukovac,21209,59
167,Bukovik,34301,15
168,Bukovica,32251,65
169,Bukorovac,34217,71
170,Bunar,35273,20
171,Burdimo,18368,102
172,Burovac,12307,103
173,Busilovac,35249,104
174,Bučje,19369,67
175,Vajska,21426,51
176,Valjevo,14000,93
177,Varvarin,37260,52
178,Varda,31263,105
179,Varna,15232,106
180,Varoš,18363,102
181,Vasilj,19367,67
182,Vatin,26337,107
183,Vašica,22241,2
184,Velebit,24428,3
185,Velesnica,19328,98
186,Velika Vrbnica,37233,8
187,Velika Grabovnica,16221,84
188,Velika Greda,26366,46
189,Velika Drenova,37245,108
190,Velika Ivanča,11414,109
191,Velika Jasikova,19235,100
192,Velika Krsna,11408,109
193,Velika Lomnica,37209,60
194,Velika Moštanica,11262,110
195,Velika Plana,11320,111
196,Velika Plana,18403,68
197,Velika Reka,15322,112
198,Veliki Borak,11462,40
199,Veliki Gaj,26365,46
200,Veliki Izvor,19206,100
201,Veliki Popović,35223,113
202,Veliki Radinci,22211,73
203,Veliki Trnovac,17528,76
204,Veliki Crljeni,11563,49
205,Veliki Šiljegovac,37204,60
206,Veliko Bonjince,18215,18
207,Veliko Gradište,12220,114
208,Veliko Laole,12306,103
209,Veliko Orašje,11323,111
210,Veliko Središte,26334,107
211,Venčane,34306,15
212,Veternik,21203,59
213,Vilovo,21246,115
214,Vina,19368,67
215,Vionica,32254,65
216,Visočka Ržana,18306,116
217,Vitanovac,36206,4
218,Vitkovac,36207,4
219,Vitoševac,37213,117
220,Viča,32233,118
221,Višnjevac,24222,24
222,Višnjićevo,22246,2
223,Vladimirovac,26315,11
224,Vladimirci,15225,119
225,Vladičin Han,17510,120
226,Vlajkovac,26332,107
227,Vlase,17507,121
228,Vlasotince,16210,122
229,Vlaška,11406,109
230,Voganj,22429,101
231,Vodanj,11328,123
232,Vojvoda Stepa,23219,9
233,Vojvodinci,26338,107
234,Vojka,22313,34
235,Vojska,35208,80
236,Voluja,12256,124
237,Vražogrnac,19312,100
238,Vranić,11427,40
239,Vranovo,11329,123
240,Vranje,17501,121
241,Vranjska Banja,17541,121
242,Vratarnica,19344,100
243,Vraćevšnica,32315,88
244,Vračev Gaj,26348,29
245,Vrba,36214,4
246,Vrbas,21460,58
247,Vrbica,23329,125
248,Vrbovac,38263,126
249,Vrdnik,22408,127
250,Vreoci,11560,49
251,Vrmdža,18236,128
252,Vrnjačka Banja,36210,129
253,Vrnjci,36217,129
254,Vrćenovica,18221,10
255,Vrhpolje,15324,130
256,Vršac,26300,107
257,Vukovac,12318,131
258,Vučje,16203,84
259,Gaj,26223,19
260,Gajdobra,21432,53
261,Gakovo,25282,6
262,Gamzigradska Banja,19228,100
263,Gardinovci,21247,115
264,Gadžin Han,18240,132
265,Gibarac,22258,2
266,Glavinci,35261,20
267,Globoder,37251,60
268,Glogovac,35222,20
269,Glogonj,26202,31
270,Gložan,21412,56
271,Glušci,15356,22
272,Gnjilan,18309,116
273,Golobok,11316,5
274,Golubac,12223,92
275,Golubinci,22308,34
276,Goračići,32232,118
277,Gornja Dobrinja,31214,133
278,Gornja Draguša,18425,42
279,Gornja Lisina,17538,77
280,Gornja Sabanta,34206,71
281,Gornja Toplica,14243,95
282,Gornja Toponica,18202,134
283,Gornja Trepča,32215,97
284,Gornja Trnava,34324,69
285,Gornje Dvorane,37206,60
286,Gornji Barbeš,18241,132
287,Gornji Breg,24406,81
288,Gornji Matejevac,18204,135
289,Gornji Milanovac,32300,88
290,Gornji Stepoš,37221,60
291,Gornji Stupanj,37234,8
292,Gospođinci,21237,136
293,Gostun,31308,12
294,Grabovac,11508,47
295,Grabovica,19327,98
296,Grabovci,22423,101
297,Gradskovo,19205,100
298,Gračanica,38205,137
299,Grgurevci,22213,73
300,Grdelica (varoš),16220,84
301,Grebenac,26347,29
302,Grlište,19342,100
303,Grljan,19341,100
