naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
Toba,Nova Crnja,45.689413020678295,20.551376852214904,Petefi Šandora,43
Aleksandrovo,Nova Crnja,45.63351688465465,20.5795597481879,Železnička,68
Aleksandrovo,Nova Crnja,45.63374766191282,20.584552404785743,Branka Radičevića,14
Aleksandrovo,Nova Crnja,45.63717289026564,20.584829133282657,Karađorđeva,47
Aleksandrovo,Nova Crnja,45.639620385244555,20.585786377235397,Karađorđeva,39A
Aleksandrovo,Nova Crnja,45.63029589516503,20.588981833447548,4.oktobra,76
Aleksandrovo,Nova Crnja,45.633995320323685,20.588618511760856,Mihajla Pupina,71
Aleksandrovo,Nova Crnja,45.64105195432843,20.588693649237822,Đure Jakšića,29
Aleksandrovo,Nova Crnja,45.64367772323704,20.587376823512177,Karađorđeva,21
Aleksandrovo,Nova Crnja,45.63313210680821,20.590139278657563,Branka Radičevića,31
Aleksandrovo,Nova Crnja,45.638059883977505,20.59244002649617,4.oktobra,47A
Aleksandrovo,Nova Crnja,45.640043282301065,20.59326098123159,4.oktobra,31
Aleksandrovo,Nova Crnja,45.632335222797394,20.59436711829136,Branka Radičevića,47
Aleksandrovo,Nova Crnja,45.63147322502385,20.597145814093658,Branka Radičevića,58
Aleksandrovo,Nova Crnja,45.637663119990634,20.599488799205364,Gavrila Principa,35
Aleksandrovo,Nova Crnja,45.64426625791588,20.589891784090042,Đure Jakšića,19
Nova Crnja,Nova Crnja,45.661876253901276,20.58949314957842,Kiš Ferenca,29
Nova Crnja,Nova Crnja,45.66330289890936,20.591251772416022,29.novembra,23
Nova Crnja,Nova Crnja,45.66487497003577,20.59973601186669,1.maja,4
Aleksandrovo,Nova Crnja,45.64254489571461,20.603136195826234,Vuka Karadžića,6
Aleksandrovo,Nova Crnja,45.644383663883595,20.603024401820242,Svetozara Markovića,61
Nova Crnja,Nova Crnja,45.666912633604476,20.61275444852845,Magazinska,1
Vojvoda Stepa,Nova Crnja,45.67949186372783,20.65276160180623,Alekse Šantića,55
Vojvoda Stepa,Nova Crnja,45.68547473643604,20.650432301378995,Jna,11
Vojvoda Stepa,Nova Crnja,45.68707093646322,20.650811737837525,Zmaj Jovina,30
