city,zip_code,region,municipality
Ada,24430,Severnobanatski okrug,Opština Ada
Adaševci,22244,Sremski okrug,Opština Šid
Adorjan,24425,Severnobanatski okrug,Opština Kanjiža
Adrani,36203,Raški okrug,Opština Kraljevo
Azanja,11423,Podunavski okrug,Opština Smederevska Palanka
Aleksa Šantić,25212,Zapadnobački okrug,Opština Sombor
Aleksandrovac,12370,Braničevski okrug,Opština Žabari
Aleksandrovac,37230,Rasinski okrug,Opština Aleksandrovac
Aleksandrovo,23217,Srednjobanatski okrug,Opština Nova Crnja
Aleksinac,18220,Nišavski okrug,Opština Aleksinac
Aleksinački Rudnik,18226,Nišavski okrug,Opština Aleksinac
Alibunar,26310,Južnobanatski okrug,Opština Alibunar
Aljinovići,31307,Zlatiborski okrug,Opština Prijepolje
Apatin,25260,Zapadnobački okrug,Opština Apatin
Aradac,23207,Srednjobanatski okrug,Opština Zrenjanin
Aranđelovac,34300,Šumadijski okrug,Opština Aranđelovac
Arilje,31230,Zlatiborski okrug,Opština Arilje
Ašanja,22418,Sremski okrug,Opština Pećinci
Babušnica,18330,Pirotski okrug,Opština Babušnica
Bavanište,26222,Južnobanatski okrug,Opština Kovin
Bagrdan,35204,Pomoravski okrug,Opština Jagodina
Badnjevac,34226,Šumadijski okrug,Opština Batočina
Badovinci,15358,Mačvanski okrug,Opština Bogatić
Bajina Bašta,31250,Zlatiborski okrug,Opština Bajina Bašta
Bajmok,24210,Severnobački okrug,Opština Subotica
Bajša,24331,Severnobački okrug,Opština Bačka Topola
Balajnac,18257,Nišavski okrug,Opština Merošina
Baljevac,36344,Raški okrug,Opština Raška
Banatska Dubica,23251,Srednjobanatski okrug,Opština Sečanj
Banatska Palanka,26324,Južnobanatski okrug,Opština Bela Crkva
Banatska Subotica,26327,Južnobanatski okrug,Opština Bela Crkva
Banatska Topola,23315,Severnobanatski okrug,Opština Kikinda
Banatski Brestovac,26234,Južnobanatski okrug,Opština Pančevo
Banatski Dvor,23213,Srednjobanatski okrug,Opština Žitište
Banatski Despotovac,23242,Srednjobanatski okrug,Opština Zrenjanin
Banatski Karlovac,26320,Južnobanatski okrug,Opština Alibunar
Banatsko Aranđelovo,23332,Severnobanatski okrug,Opština Novi Kneževac
Banatsko Veliko Selo,23312,Severnobanatski okrug,Opština Kikinda
Banatsko Karađorđevo,23216,Srednjobanatski okrug,Opština Žitište
Banatsko Novo Selo,26314,Južnobanatski okrug,Opština Pančevo
Banovo Polje,15362,Mačvanski okrug,Opština Bogatić
Banovci-Dunav,22303,Sremski okrug,Opština Stara Pazova
Banoštor,21312,Južnobački okrug,Opština Beočin
Banja,34304,Šumadijski okrug,Opština Aranđelovac
Banja,31337,Zlatiborski okrug,Opština Priboj
Banja Koviljača,15316,Mačvanski okrug,Opština Loznica
Banjani,14214,Kolubarski okrug,Opština Ub
Banjska,38216,Kosovskomitrovački okrug,Opština Zvečan
Barajevo,11460,Grad Beograd,Opština Barajevo
Baranda,26205,Južnobanatski okrug,Opština Opovo
Barbatovac,18426,Toplički okrug,Opština Blace
Bare,12227,Braničevski okrug,Opština Požarevac
Bare,34205,Šumadijski okrug,Opština Knić
Bare,36315,Zlatiborski okrug,Opština Sjenica
Barice,26367,Južnobanatski okrug,Opština Plandište
Barič,11504,Grad Beograd,Opština Obrenovac
Barlovo,18432,Toplički okrug,Opština Kuršumlija
Baroševac,11565,Grad Beograd,Opština Lazarevac
Batočina,34227,Šumadijski okrug,Opština Batočina
Batrovci,22251,Sremski okrug,Opština Šid
Batuse,38210,Kosovski okrug,Opština Kosovo Polje
Bač,21420,Južnobački okrug,Opština Bač
Bačevci,31258,Zlatiborski okrug,Opština Bajina Bašta
Bačina,37265,Rasinski okrug,Opština Varvarin
Bačinci,22225,Sremski okrug,Opština Šid
Bačka Palanka,21400,Južnobački okrug,Opština Bačka Palanka
Bačka Topola,24300,Severnobački okrug,Opština Bačka Topola
Bački Breg,25275,Zapadnobački okrug,Opština Sombor
Bački Brestovac,25242,Zapadnobački okrug,Opština Odžaci
Bački Vinogradi,24415,Severnobački okrug,Opština Subotica
Bački Gračac,25252,Zapadnobački okrug,Opština Odžaci
Bački Jarak,21234,Južnobački okrug,Opština Temerin
Bački Monoštor,25272,Zapadnobački okrug,Opština Sombor
Bački Petrovac,21470,Južnobački okrug,Opština Bački Petrovac
Bački Sokolac,24343,Severnobački okrug,Opština Bačka Topola
Bačko Gradište,21217,Južnobački okrug,Opština Bečej
Bačko Dobro Polje,21465,Južnobački okrug,Opština Vrbas
Bačko Novo Selo,21429,Južnobački okrug,Opština Bač
Bačko Petrovo Selo,21226,Južnobački okrug,Opština Bečej
Bašaid,23316,Severnobanatski okrug,Opština Kikinda
Begeč,21411,Južnobački okrug,Opština Novi Sad
Bezdan,25270,Zapadnobački okrug,Opština Sombor
Bela Voda,37253,Rasinski okrug,Opština Kruševac
Bela Zemlja,31311,Zlatiborski okrug,Opština Užice
Bela Palanka,18310,Pirotski okrug,Opština Bela Palanka
Bela Crkva,15313,Mačvanski okrug,Opština Krupanj
Bela Crkva,26340,Južnobanatski okrug,Opština Bela Crkva
Belanovica,14246,Kolubarski okrug,Opština Ljig
Bele Vode,32259,Moravički okrug,Opština Ivanjica
Belegiš,22306,Sremski okrug,Opština Stara Pazova
Beli Potok,11223,Grad Beograd,Opština Voždovac
Beli Potok,19366,Zaječarski okrug,Opština Knjaževac
Belo Blato,23205,Srednjobanatski okrug,Opština Zrenjanin
Beloljin,18424,Toplički okrug,Opština Prokuplje
Belosavci,34312,Šumadijski okrug,Opština Topola
Belotinac,18411,Nišavski okrug,Opština Doljevac
Beloševac,34208,Šumadijski okrug,Opština Kragujevac
Belušić,35263,Pomoravski okrug,Opština Rekovac
Beljina,11461,Grad Beograd,Opština Barajevo
Beočin,21300,Južnobački okrug,Opština Beočin
Berkasovo,22242,Sremski okrug,Opština Šid
Bečej,21220,Južnobački okrug,Opština Bečej
Bešenovo,22212,Sremski okrug,Opština Sremska Mitrovica
Beška,22324,Sremski okrug,Opština Inđija
Bigrenica,35238,Pomoravski okrug,Opština Ćuprija
Bikić Do,22254,Sremski okrug,Opština Šid
Bikovo,24206,Severnobački okrug,Opština Subotica
Biljača,17522,Pčinjski okrug,Opština Bujanovac
Bingula,22253,Sremski okrug,Opština Šid
Bioska,31241,Zlatiborski okrug,Opština Užice
Bistar,17546,Pčinjski okrug,Opština Bosilegrad
Bistrica,31325,Zlatiborski okrug,Opština Nova Varoš
Blaževo,37226,Rasinski okrug,Opština Brus
Blace,18420,Toplički okrug,Opština Blace
Bobovo,35217,Pomoravski okrug,Opština Svilajnac
Bogaraš,24408,Severnobanatski okrug,Opština Senta
Bogatić,15350,Mačvanski okrug,Opština Bogatić
Bogovađa,14225,Kolubarski okrug,Opština Lajkovac
Bogovina,19372,Zaječarski okrug,Opština Boljevac
Bogojevo,25245,Zapadnobački okrug,Opština Odžaci
Bogojevce,16254,Jablanički okrug,Opština Leskovac
Bogutovac,36341,Raški okrug,Opština Kraljevo
Bođani,21427,Južnobački okrug,Opština Bač
Boževac,12313,Braničevski okrug,Opština Malo Crniće
Božetići,31322,Zlatiborski okrug,Opština Nova Varoš
Božica,17537,Pčinjski okrug,Opština Surdulica
Bojnik,16205,Jablanički okrug,Opština Bojnik
Boka,23252,Srednjobanatski okrug,Opština Sečanj
Boljevac,19370,Zaječarski okrug,Opština Boljevac
Boljkovci,32312,Moravički okrug,Opština Gornji Milanovac
Bor,19210,Borski okrug,Opština Bor
Borski Brestovac,19229,Borski okrug,Opština Bor
Bosilegrad,17540,Pčinjski okrug,Opština Bosilegrad
Bosut,22217,Sremski okrug,Opština Sremska Mitrovica
Botoš,23243,Srednjobanatski okrug,Opština Zrenjanin
Bočar,23274,Srednjobanatski okrug,Opština Novi Bečej
Bošnjane,37262,Rasinski okrug,Opština Varvarin
Bošnjace,16232,Jablanički okrug,Opština Lebane
Bradarac,12206,Braničevski okrug,Opština Požarevac
Braničevo,12222,Braničevski okrug,Opština Golubac
Brankovina,14201,Kolubarski okrug,Opština Valjevo
Bratljevo,32256,Moravički okrug,Opština Ivanjica
Braćevac,19315,Borski okrug,Opština Negotin
Brvenik,36346,Raški okrug,Opština Raška
Brgule,14212,Kolubarski okrug,Opština Ub
Brđani,32303,Moravički okrug,Opština Gornji Milanovac
Brežđe,14244,Kolubarski okrug,Opština Mionica
Brezjak,15309,Mačvanski okrug,Opština Loznica
Brezna,32307,Moravički okrug,Opština Gornji Milanovac
Brezova,32253,Moravički okrug,Opština Ivanjica
Brezovica,38157,Kosovski okrug,Opština Štrpce
Brekovo,31234,Zlatiborski okrug,Opština Arilje
Bresnica,32213,Moravički okrug,Opština Čačak
Brestovac,16253,Jablanički okrug,Opština Leskovac
Brestovačka Banja,19216,Borski okrug,Opština Bor
Brza Palanka,19323,Borski okrug,Opština Kladovo
Brzi Brod,18116,Nišavski okrug,Opština Medijana
Brzan,34228,Šumadijski okrug,Opština Batočina
Brzeće,37225,Rasinski okrug,Opština Brus
Brodarevo,31305,Zlatiborski okrug,Opština Prijepolje
Brus,37220,Rasinski okrug,Opština Brus
Brusnik,19313,Zaječarski okrug,Opština Zaječar
Budisava,21242,Južnobački okrug,Opština Novi Sad
Buđanovci,22421,Sremski okrug,Opština Ruma
Bujanovac,17520,Pčinjski okrug,Opština Bujanovac
Bukovac,21209,Južnobački okrug,Opština Novi Sad
Bukovik,34301,Šumadijski okrug,Opština Aranđelovac
Bukovica,32251,Moravički okrug,Opština Ivanjica
Bukorovac,34217,Šumadijski okrug,Opština Kragujevac
Bunar,35273,Pomoravski okrug,Opština Jagodina
