city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Belgrade,44.8200,20.4600,Serbia,RS,Beograd,primary,1197714,1197714
Novi Sad,45.2542,19.8425,Serbia,RS,Novi Sad,admin,380000,380000
Niš,43.3208,21.8958,Serbia,RS,Niš,admin,183164,183164
Zemun,44.8500,20.4000,Serbia,RS,Beograd,minor,161596,161596
Kragujevac,44.0101,20.9172,Serbia,RS,Kragujevac,admin,150623,150623
Šabac,44.7500,19.7000,Serbia,RS,Šabac,admin,105432,105432
Smederevo,44.6667,20.9333,Serbia,RS,Smederevo,admin,97930,97930
Valjevo,44.2667,19.8833,Serbia,RS,Valjevo,admin,90312,90312
Loznica,44.5333,19.2258,Serbia,RS,Loznica,admin,86413,86413
Pančevo,44.8706,20.6403,Serbia,RS,Pančevo,admin,73401,73401
Sremska Mitrovica,44.9700,19.6125,Serbia,RS,Sremska Mitrovica,admin,72580,72580
Stara Pazova,44.9833,20.1667,Serbia,RS,Stara Pazova,admin,71931,71931
Čačak,43.8833,20.3500,Serbia,RS,Čačak,admin,71883,71883
Požarevac,44.6167,21.1833,Serbia,RS,Požarevac,admin,68648,68648
Zrenjanin,45.3833,20.3894,Serbia,RS,Zrenjanin,admin,67129,67129
Kraljevo,43.7236,20.6875,Serbia,RS,Kraljevo,admin,66688,66688
Novi Pazar,43.1378,20.5161,Serbia,RS,Novi Pazar,admin,66527,66527
Užice,43.8500,19.8500,Serbia,RS,Užice,admin,59747,59747
Kruševac,43.5806,21.3306,Serbia,RS,Kruševac,admin,58745,58745
Lazarevac,44.3667,20.2500,Serbia,RS,Beograd,minor,55146,55146
Vranje,42.5500,21.9000,Serbia,RS,Vranje,admin,55138,55138
Ruma,45.0000,19.8333,Serbia,RS,Ruma,admin,54339,54339
Paraćin,43.8667,21.4167,Serbia,RS,Paraćin,admin,54267,54267
Sombor,45.7833,19.1167,Serbia,RS,Sombor,admin,51471,51471
Pirot,43.1667,22.6000,Serbia,RS,Pirot,admin,49601,49601
Mladenovac,44.4333,20.7000,Serbia,RS,Beograd,minor,48683,48683
Zaječar,43.9167,22.3000,Serbia,RS,Zaječar,admin,48621,48621
Batajnica,44.9000,20.2833,Serbia,RS,Beograd,,48600,48600
Inđija,45.0500,20.0833,Serbia,RS,Inđija,admin,47433,47433
Aranđelovac,44.3000,20.5667,Serbia,RS,Aranđelovac,admin,46225,46225
Borča,44.8700,20.4500,Serbia,RS,Beograd,,46086,46086
Surčin,44.7919,20.2723,Serbia,RS,Beograd,minor,45452,45452
Aleksinac,43.5500,21.7000,Serbia,RS,Aleksinac,admin,43258,43258
Smederevska Palanka,44.3663,20.9565,Serbia,RS,Smederevska Palanka,admin,42192,42192
Bujanovac,42.4667,21.7667,Serbia,RS,Bujanovac,admin,41068,41068
Velika Plana,44.3340,21.0768,Serbia,RS,Velika Plana,admin,40902,40902
Gornji Milanovac,44.0242,20.4600,Serbia,RS,Gornji Milanovac,admin,38985,38985
Prokuplje,43.2361,21.5903,Serbia,RS,Prokuplje,admin,38054,38054
Bečej,45.6167,20.0333,Serbia,RS,Bečej,admin,37351,37351
Prijepolje,43.3833,19.6333,Serbia,RS,Prijepolje,admin,37059,37059
Vršac,45.1167,21.3033,Serbia,RS,Vršac,admin,35701,35701
Kula,45.6000,19.5333,Serbia,RS,Kula,admin,35592,35592
Negotin,44.2292,22.5306,Serbia,RS,Negotin,admin,35000,35000
Jagodina,43.9667,21.2500,Serbia,RS,Jagodina,admin,34892,34892
Šid,45.1167,19.2333,Serbia,RS,Šid,admin,34188,34188
Bor,44.0833,22.1000,Serbia,RS,Bor,admin,34159,34159
Kovin,44.7500,20.9667,Serbia,RS,Kovin,admin,33722,33722
Tutin,42.9897,20.3364,Serbia,RS,Tutin,admin,33053,33053
Knjaževac,43.5675,22.2575,Serbia,RS,Knjaževac,admin,31491,31491
Petrovac na Mlavi,44.3783,21.4194,Serbia,RS,Petrovac na Mlavi,admin,31259,31259
Subotica,46.1003,19.6656,Serbia,RS,Subotica,admin,29919,29919
Vlasotince,42.9667,22.1333,Serbia,RS,Vlasotince,admin,29669,29669
Kikinda,45.8333,20.4500,Serbia,RS,Kikinda,admin,28743,28743
Temerin,45.4167,19.8833,Serbia,RS,Temerin,admin,28287,28287
